"CODE";"PREQUESTION";"numberOfAsking"
"257";"painVAS";NULL
"257";"MOXFQ";NULL
"257";"EQ5D3";NULL
"257";"EQ5D";NULL
"259";"footAndAnkelOutcome";NULL
"259";"painVAS";NULL
"259";"MOXFQ";NULL
"259";"EQ5D3";NULL
"259";"EQ5D";NULL
"596";"MOXFQ";NULL
"596";"painVAS";NULL
"596";"footAndAnkelOutcome";NULL
"305";"footAndAnkelOutcome";NULL
"596";"EQ5D3";NULL
"596";"EQ5D";NULL
"596";"painVAS";NULL
"305";"EQ5D3";NULL
"305";"EQ5D";NULL
"305";"painVAS";NULL
"305";"MOXFQ";NULL
"303";"footAndAnkelOutcome";NULL
"303";"MOXFQ";NULL
"303";"painVAS";NULL
"303";"EQ5D";NULL
"303";"EQ5D3";NULL
"258";"EQ5D3";NULL
"258";"EQ5D";NULL
"257";"footAndAnkelOutcome";NULL
"256";"footAndAnkelOutcome";NULL
"256";"MOXFQ";NULL
"256";"painVAS";NULL
"256";"EQ5D3";NULL
"256";"EQ5D";NULL
"258";"MOXFQ";NULL
"258";"painVAS";NULL
"258";"footAndAnkelOutcome";NULL
"347";"EQ5D";NULL
"347";"EQ5D3";NULL
"347";"MOXFQ";NULL
"347";"painVAS";NULL
"347";"footAndAnkelOutcome";NULL
"602";"EQ5D";NULL
"602";"EQ5D3";NULL
"602";"MOXFQ";NULL
"602";"painVAS";NULL
"602";"footAndAnkelOutcome";NULL
"582";"EQ5D";NULL
"582";"EQ5D3";NULL
"582";"MOXFQ";NULL
"582";"painVAS";NULL
"582";"footAndAnkelOutcome";NULL
"612";"EQ5D";NULL
"612";"EQ5D3";NULL
"612";"MOXFQ";NULL
"612";"painVAS";NULL
"612";"footAndAnkelOutcome";NULL
"162";"EQ5D";NULL
"162";"EQ5D3";NULL
"162";"OSS";NULL
"162";"QDASH";NULL
"164";"EQ5D";NULL
"164";"EQ5D3";NULL
"164";"OSS";NULL
"164";"QDASH";NULL
"163";"EQ5D";NULL
"163";"EQ5D3";NULL
"163";"OSS";NULL
"163";"QDASH";NULL
"407";"EQ5D";NULL
"407";"EQ5D3";NULL
"407";"OSS";NULL
"407";"QDASH";NULL
"543";"EQ5D";NULL
"543";"EQ5D3";NULL
"543";"OSS";NULL
"543";"QDASH";NULL
"409";"EQ5D";NULL
"409";"EQ5D3";NULL
"409";"OSS";NULL
"409";"QDASH";NULL
"158";"EQ5D";NULL
"158";"EQ5D3";NULL
"158";"OSS";NULL
"158";"QDASH";NULL
"157";"EQ5D";NULL
"157";"EQ5D3";NULL
"157";"OSS";NULL
"157";"QDASH";NULL
"408";"EQ5D";NULL
"408";"EQ5D3";NULL
"408";"OSS";NULL
"408";"QDASH";NULL
"160";"EQ5D";NULL
"160";"EQ5D3";NULL
"160";"OSI";NULL
"160";"QDASH";NULL
"161";"EQ5D";NULL
"161";"EQ5D3";NULL
"161";"OSI";NULL
"161";"QDASH";NULL
"166";"EQ5D";NULL
"166";"EQ5D3";NULL
"166";"OSI";NULL
"166";"QDASH";NULL
"165";"OSS";NULL
"165";"EQ5D3";NULL
"165";"EQ5D";NULL
"169";"QDASH";NULL
"169";"OSS";NULL
"169";"EQ5D3";NULL
"169";"EQ5D";NULL
"165";"QDASH";NULL
"335";"EQ5D";NULL
"335";"EQ5D3";NULL
"335";"OSS";NULL
"335";"QDASH";NULL
"544";"EQ5D";NULL
"544";"EQ5D3";NULL
"544";"OSS";NULL
"544";"QDASH";NULL
"546";"EQ5D";NULL
"546";"EQ5D3";NULL
"546";"OSS";NULL
"546";"QDASH";NULL
"372";"EQ5D";NULL
"372";"EQ5D3";NULL
"372";"OSS";NULL
"372";"QDASH";NULL
"171";"EQ5D";NULL
"171";"EQ5D3";NULL
"171";"OES";NULL
"171";"QDASH";NULL
"172";"EQ5D";NULL
"172";"EQ5D3";NULL
"172";"OES";NULL
"172";"QDASH";NULL
"173";"EQ5D";NULL
"173";"EQ5D3";NULL
"173";"OES";NULL
"173";"QDASH";NULL
"174";"EQ5D";NULL
"174";"EQ5D3";NULL
"174";"OES";NULL
"174";"QDASH";NULL
"175";"EQ5D";NULL
"175";"EQ5D3";NULL
"175";"OES";NULL
"175";"QDASH";NULL
"368";"EQ5D";NULL
"368";"EQ5D3";NULL
"368";"OES";NULL
"368";"QDASH";NULL
"177";"EQ5D";NULL
"177";"EQ5D3";NULL
"177";"OES";NULL
"177";"QDASH";NULL
"178";"EQ5D";NULL
"178";"EQ5D3";NULL
"178";"OES";NULL
"178";"QDASH";NULL
"353";"EQ5D";NULL
"353";"EQ5D3";NULL
"353";"OES";NULL
"353";"QDASH";NULL
"354";"EQ5D";NULL
"354";"EQ5D3";NULL
"353";"OES";NULL
"354";"QDASH";NULL
"355";"EQ5D";NULL
"355";"EQ5D3";NULL
"353";"OES";NULL
"355";"QDASH";NULL
"356";"EQ5D";NULL
"356";"EQ5D3";NULL
"356";"OES";NULL
"356";"QDASH";NULL
"448";"EQ5D";NULL
"448";"EQ5D3";NULL
"448";"OES";NULL
"448";"QDASH";NULL
"199";"EQ5D";NULL
"199";"EQ5D3";NULL
"199";"PEM";NULL
"199";"QDASH";NULL
"191";"EQ5D";NULL
"191";"EQ5D3";NULL
"191";"PEM";NULL
"191";"URAM";NULL
"191";"QDASH";NULL
"336";"EQ5D";NULL
"336";"EQ5D3";NULL
"336";"PEM";NULL
"336";"URAM";NULL
"336";"QDASH";NULL
"559";"EQ5D";NULL
"559";"EQ5D3";NULL
"559";"PEM";NULL
"559";"URAM";NULL
"559";"QDASH";NULL
"560";"EQ5D";NULL
"560";"EQ5D3";NULL
"560";"PEM";NULL
"560";"URAM";NULL
"560";"QDASH";NULL
"561";"EQ5D";NULL
"561";"EQ5D3";NULL
"561";"PEM";NULL
"561";"URAM";NULL
"561";"QDASH";NULL
"562";"EQ5D";NULL
"562";"EQ5D3";NULL
"562";"PEM";NULL
"562";"URAM";NULL
"562";"QDASH";NULL
"194";"EQ5D";NULL
"194";"EQ5D3";NULL
"194";"PEM";NULL
"194";"QDASH";NULL
"556";"EQ5D";NULL
"556";"EQ5D3";NULL
"556";"PEM";NULL
"556";"QDASH";NULL
"557";"EQ5D";NULL
"557";"EQ5D3";NULL
"557";"PEM";NULL
"557";"QDASH";NULL
"411";"EQ5D";NULL
"411";"EQ5D3";NULL
"411";"PEM";NULL
"411";"QDASH";NULL
"182";"EQ5D";NULL
"182";"EQ5D3";NULL
"182";"PEM";NULL
"182";"QDASH";NULL
"183";"EQ5D";NULL
"183";"EQ5D3";NULL
"183";"BOSTON";NULL
"183";"QDASH";NULL
"540";"EQ5D";NULL
"540";"EQ5D3";NULL
"540";"OSI";NULL
"540";"QDASH";NULL
"373";"EQ5D";NULL
"373";"EQ5D3";NULL
"373";"OSS";NULL
"373";"QDASH";NULL
"11";"EQ5D";NULL
"11";"EQ5D3";NULL
"11";"OSS";NULL
"11";"QDASH";NULL
"210";"EQ5D";NULL
"210";"EQ5D5";NULL
"210";"iHOT12";NULL
"210";"NAHSRpatientSatisfaction";NULL
"210";"UCLAactivity";NULL
"210";"NAHSR";NULL
"206";"EQ5D";NULL
"206";"EQ5D5";NULL
"206";"iHOT12";NULL
"206";"NAHSRpatientSatisfaction";NULL
"206";"UCLAactivity";NULL
"206";"NAHSR";NULL
"234";"EQ5D";NULL
"234";"EQ5D5";NULL
"234";"KOOS";NULL
"234";"OxfordKeenScore";NULL
"234";"OKSandAandP";NULL
"234";"keenOutcome";NULL
"235";"EQ5D";NULL
"235";"EQ5D5";NULL
"235";"KOOS";NULL
"235";"OxfordKeenScore";NULL
"235";"OKSandAandP";NULL
"234";"keenOutcome";NULL
"228";"EQ5D";NULL
"228";"EQ5D5";NULL
"228";"KOOS";NULL
"228";"OxfordKeenScore";NULL
"228";"OKSandAandP";NULL
"228";"keenOutcome";NULL
"422";"EQ5D";NULL
"422";"EQ5D5";NULL
"422";"KOOS";NULL
"422";"OxfordKeenScore";NULL
"422";"OKSandAandP";NULL
"422";"keenOutcome";NULL
"95";"EQ5D";NULL
"95";"EQ5D3";NULL
"95";"KOOS";NULL
"95";"keenOutcome";NULL
"392";"EQ5D";NULL
"392";"EQ5D3";NULL
"392";"KOOS";NULL
"392";"keenOutcome";NULL
"228";"EQ5D";NULL
"228";"EQ5D3";NULL
"228";"KOOS";NULL
"228";"keenOutcome";NULL
"229";"EQ5D";NULL
"229";"EQ5D3";NULL
"229";"KOOS";NULL
"229";"keenOutcome";NULL
"230";"EQ5D";NULL
"230";"EQ5D3";NULL
"230";"KOOS";NULL
"230";"keenOutcome";NULL
"231";"EQ5D";NULL
"231";"EQ5D3";NULL
"231";"KOOS";NULL
"231";"keenOutcome";NULL
"232";"EQ5D";NULL
"232";"EQ5D3";NULL
"232";"KOOS";NULL
"232";"keenOutcome";NULL
"233";"EQ5D";NULL
"233";"EQ5D3";NULL
"233";"KOOS";NULL
"233";"keenOutcome";NULL
"585";"EQ5D";NULL
"585";"EQ5D3";NULL
"585";"KOOS";NULL
"585";"keenOutcome";NULL
"419";"EQ5D";NULL
"419";"EQ5D3";NULL
"419";"KOOS";NULL
"419";"keenOutcome";NULL
"421";"EQ5D";NULL
"421";"EQ5D3";NULL
"421";"KOOS";NULL
"421";"keenOutcome";NULL
"422";"EQ5D";NULL
"422";"EQ5D3";NULL
"422";"KOOS";NULL
"422";"keenOutcome";NULL
"589";"TegnerActivity";NULL
"589";"EQ5D5";NULL
"589";"EQ5D";NULL
"227";"keenOutcome";NULL
"227";"KOOS";NULL
"227";"IKDC";NULL
"227";"TegnerActivity";NULL
"227";"EQ5D5";NULL
"227";"EQ5D";NULL
"589";"IKDC";NULL
"589";"KOOS";NULL
"589";"keenOutcome";NULL
"590";"EQ5D";NULL
"590";"EQ5D5";NULL
"590";"TegnerActivity";NULL
"590";"IKDC";NULL
"590";"KOOS";NULL
"590";"keenOutcome";NULL
"96";"EQ5D3";NULL
"96";"EQ5D";NULL
"416";"keenOutcome";NULL
"416";"KOOS";NULL
"416";"IKDC";NULL
"416";"TegnerActivity";NULL
"416";"EQ5D5";NULL
"416";"EQ5D";NULL
"96";"KOOS";NULL
"96";"keenOutcome";NULL
"104";"EQ5D";NULL
"104";"EQ5D3";NULL
"104";"KOOS";NULL
"104";"keenOutcome";NULL
"103";"EQ5D";NULL
"103";"EQ5D3";NULL
"103";"KOOS";NULL
"103";"keenOutcome";NULL
"391";"EQ5D";NULL
"391";"EQ5D3";NULL
"391";"KOOS";NULL
"391";"keenOutcome";NULL
"138";"EQ5D";NULL
"138";"EQ5D5";NULL
"138";"NDI";NULL
"138";"NeckAndArmPain";NULL
"138";"MDI";NULL
"138";"spineOutcome";NULL
"142";"EQ5D";NULL
"142";"EQ5D5";NULL
"142";"NDI";NULL
"142";"NeckAndArmPain";NULL
"142";"MDI";NULL
"142";"spineOutcome";NULL
"510";"EQ5D";NULL
"510";"EQ5D5";NULL
"510";"NDI";NULL
"510";"NeckAndArmPain";NULL
"510";"MDI";NULL
"510";"spineOutcome";NULL
"511";"EQ5D";NULL
"511";"EQ5D5";NULL
"511";"NDI";NULL
"511";"NeckAndArmPain";NULL
"511";"MDI";NULL
"511";"spineOutcome";NULL
"517";"EQ5D";NULL
"517";"EQ5D5";NULL
"517";"NDI";NULL
"517";"NeckAndArmPain";NULL
"517";"MDI";NULL
"517";"spineOutcome";NULL
"147";"EQ5D";NULL
"147";"EQ5D5";NULL
"147";"NDI";NULL
"147";"NeckAndArmPain";NULL
"147";"MDI";NULL
"147";"spineOutcome";NULL
"427";"EQ5D";NULL
"427";"EQ5D5";NULL
"427";"NDI";NULL
"427";"NeckAndArmPain";NULL
"427";"MDI";NULL
"427";"spineOutcome";NULL
"154";"EQ5D";NULL
"154";"EQ5D5";NULL
"154";"ODI";NULL
"154";"BackAndLegPain";NULL
"154";"spineOutcome";NULL
"532";"EQ5D";NULL
"532";"EQ5D5";NULL
"532";"ODI";NULL
"532";"BackAndLegPain";NULL
"532";"spineOutcome";NULL
"533";"EQ5D";NULL
"533";"EQ5D5";NULL
"533";"ODI";NULL
"533";"BackAndLegPain";NULL
"533";"spineOutcome";NULL
"534";"EQ5D";NULL
"534";"EQ5D5";NULL
"534";"ODI";NULL
"534";"BackAndLegPain";NULL
"534";"spineOutcome";NULL
"010";"EQ5D";NULL
"010";"EQ5D5";NULL
"010";"ODI";NULL
"010";"BackAndLegPain";NULL
"010";"spineOutcome";NULL
"152";"EQ5D";NULL
"152";"EQ5D5";NULL
"152";"ODI";NULL
"152";"BackAndLegPain";NULL
"152";"spineOutcome";NULL
"153";"EQ5D";NULL
"153";"EQ5D5";NULL
"153";"ODI";NULL
"153";"BackAndLegPain";NULL
"153";"spineOutcome";NULL
"431";"EQ5D";NULL
"431";"EQ5D5";NULL
"431";"ODI";NULL
"431";"BackAndLegPain";NULL
"431";"spineOutcome";NULL
"529";"EQ5D";NULL
"529";"EQ5D5";NULL
"529";"ODI";NULL
"529";"BackAndLegPain";NULL
"529";"spineOutcome";NULL
"531";"EQ5D";NULL
"531";"EQ5D5";NULL
"531";"ODI";NULL
"531";"BackAndLegPain";NULL
"531";"spineOutcome";NULL
"536";"EQ5D";NULL
"536";"EQ5D5";NULL
"536";"ODI";NULL
"536";"BackAndLegPain";NULL
"536";"spineOutcome";NULL
"240";"EQ5D";NULL
"240";"EQ5D5";NULL
"240";"EQ5D3";NULL
"240";"OxfordKeenScore";NULL
"240";"keenOutcome";NULL
"241";"EQ5D";NULL
"241";"EQ5D5";NULL
"241";"EQ5D3";NULL
"241";"OxfordKeenScore";NULL
"241";"keenOutcome";NULL
"418";"EQ5D";NULL
"418";"EQ5D5";NULL
"418";"EQ5D3";NULL
"418";"OxfordKeenScore";NULL
"418";"keenOutcome";NULL
"239";"EQ5D";NULL
"239";"EQ5D5";NULL
"239";"EQ5D3";NULL
"239";"OxfordKeenScore";NULL
"239";"keenOutcome";NULL
"236";"EQ5D";NULL
"236";"EQ5D5";NULL
"236";"EQ5D3";NULL
"236";"OxfordKeenScore";NULL
"236";"keenOutcome";NULL
"423";"EQ5D";NULL
"423";"EQ5D5";NULL
"423";"EQ5D3";NULL
"423";"OxfordKeenScore";NULL
"423";"keenOutcome";NULL
"424";"EQ5D";NULL
"424";"EQ5D5";NULL
"424";"EQ5D3";NULL
"424";"OxfordKeenScore";NULL
"424";"keenOutcome";NULL
"396";"EQ5D";NULL
"396";"EQ5D5";NULL
"396";"EQ5D3";NULL
"396";"OxfordKeenScore";NULL
"396";"keenOutcome";NULL
"393";"EQ5D";NULL
"393";"EQ5D5";NULL
"393";"EQ5D3";NULL
"393";"OxfordKeenScore";NULL
"393";"keenOutcome";NULL
"218";"EQ5D";NULL
"218";"EQ5D5";NULL
"218";"EQ5D3";NULL
"218";"OHS";NULL
"218";"NAHSRpatientSatisfaction";NULL
"219";"EQ5D";NULL
"219";"EQ5D5";NULL
"219";"EQ5D3";NULL
"219";"OHS";NULL
"219";"NAHSRpatientSatisfaction";NULL
"220";"EQ5D";NULL
"220";"EQ5D5";NULL
"220";"EQ5D3";NULL
"220";"OHS";NULL
"220";"NAHSRpatientSatisfaction";NULL
"221";"EQ5D";NULL
"221";"EQ5D5";NULL
"221";"EQ5D3";NULL
"221";"OHS";NULL
"221";"NAHSRpatientSatisfaction";NULL
"82";"EQ5D";NULL
"82";"EQ5D5";NULL
"82";"EQ5D3";NULL
"82";"OHS";NULL
"82";"NAHSRpatientSatisfaction";NULL
"86";"EQ5D";NULL
"86";"EQ5D5";NULL
"86";"EQ5D3";NULL
"86";"OHS";NULL
"86";"NAHSRpatientSatisfaction";NULL
"360";"EQ5D";NULL
"360";"EQ5D5";NULL
"360";"EQ5D3";NULL
"360";"OHS";NULL
"360";"NAHSRpatientSatisfaction";NULL
"387";"EQ5D";NULL
"387";"EQ5D5";NULL
"387";"EQ5D3";NULL
"387";"OHS";NULL
"387";"NAHSRpatientSatisfaction";NULL
"213";"EQ5D";NULL
"213";"EQ5D5";NULL
"213";"EQ5D3";NULL
"213";"OHS";NULL
"213";"NAHSRpatientSatisfaction";NULL
"214";"EQ5D";NULL
"214";"EQ5D5";NULL
"214";"EQ5D3";NULL
"214";"OHS";NULL
"214";"NAHSRpatientSatisfaction";NULL
"215";"EQ5D";NULL
"215";"EQ5D5";NULL
"215";"EQ5D3";NULL
"215";"OHS";NULL
"215";"NAHSRpatientSatisfaction";NULL
"386";"EQ5D";NULL
"386";"EQ5D5";NULL
"386";"EQ5D3";NULL
"386";"OHS";NULL
"386";"NAHSRpatientSatisfaction";NULL
"414";"EQ5D";NULL
"414";"EQ5D5";NULL
"414";"EQ5D3";NULL
"414";"OHS";NULL
"414";"NAHSRpatientSatisfaction";NULL
"415";"EQ5D";NULL
"415";"EQ5D5";NULL
"415";"EQ5D3";NULL
"415";"OHS";NULL
"415";"NAHSRpatientSatisfaction";NULL
"208";"EQ5D";NULL
"208";"EQ5D5";NULL
"208";"EQ5D3";NULL
"208";"OHS";NULL
"208";"NAHSRpatientSatisfaction";NULL
"388";"EQ5D";NULL
"388";"EQ5D5";NULL
"388";"EQ5D3";NULL
"388";"OHS";NULL
"388";"NAHSRpatientSatisfaction";NULL
"245";"EQ5D";NULL
"245";"EQ5D3";NULL
"245";"MOXFQ";NULL
"245";"painVAS";NULL
"245";"AOS";NULL
"245";"AOFAS";NULL
"245";"footAndAnkelOutcome";NULL
"245";"COFAS-AOS";NULL
"593";"EQ5D";NULL
"593";"EQ5D3";NULL
"593";"MOXFQ";NULL
"593";"painVAS";NULL
"593";"AOS";NULL
"593";"AOFAS";NULL
"593";"footAndAnkelOutcome";NULL
"593";"COFAS-AOS";NULL
"246";"EQ5D";NULL
"246";"EQ5D3";NULL
"246";"MOXFQ";NULL
"246";"painVAS";NULL
"246";"AOS";NULL
"246";"AOFAS";NULL
"246";"footAndAnkelOutcome";NULL
"246";"COFAS-AOS";NULL
"579";"EQ5D";NULL
"579";"EQ5D3";NULL
"579";"MOXFQ";NULL
"579";"painVAS";NULL
"579";"AOS";NULL
"579";"AOFAS";NULL
"579";"footAndAnkelOutcome";NULL
"579";"COFAS-AOS";NULL
"327";"EQ5D";NULL
"327";"EQ5D3";NULL
"327";"MOXFQ";NULL
"327";"painVAS";NULL
"327";"AOS";NULL
"327";"AOFAS";NULL
"327";"footAndAnkelOutcome";NULL
"327";"COFAS-AOS";NULL
"248";"SAFAS";NULL
"248";"painVAS";NULL
"248";"MOXFQ";NULL
"248";"EQ5D3";NULL
"248";"EQ5D";NULL
"342";"footAndAnkelOutcome";NULL
"342";"AOFAS";NULL
"342";"SAFAS";NULL
"342";"painVAS";NULL
"342";"MOXFQ";NULL
"342";"EQ5D3";NULL
"342";"EQ5D";NULL
"248";"AOFAS";NULL
"248";"footAndAnkelOutcome";NULL
"397";"COFAS-AOS";NULL
"397";"painVAS";NULL
"397";"MOXFQ";NULL
"397";"EQ5D3";NULL
"397";"EQ5D";NULL
"591";"footAndAnkelOutcome";NULL
"398";"MOXFQ";NULL
"398";"EQ5D3";NULL
"398";"EQ5D";NULL
"397";"AOS";NULL
"397";"AOFAOS";NULL
"581";"footAndAnkelOutcome";NULL
"581";"ATRS";NULL
"581";"painVAS";NULL
"581";"MOXFQ";NULL
"581";"EQ5D3";NULL
"581";"EQ5D";NULL
"591";"painVAS";NULL
"591";"MOXFQ";NULL
"591";"EQ5D3";NULL
"591";"EQ5D";NULL
"581";"VISSA";NULL
"398";"painVAS";NULL
"398";"COFAS-AOS";NULL
"398";"AOFAOS";NULL
"398";"AOS";NULL
